,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL
377,Sr Data Scientist - Enterprise Artificial Intelligence,$107K - $147K (Glassdoor est.),"Master's degree in Statistics, Mathematics, Decision Sciences, Actuarial Science or related analytical STEM field plus three years of experience, or PhD in……
Skills: Statistical software, Statistics, Research, Natural language processing, Regression analysis",4.1,"The Travelers Companies, Inc.","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-data-scientist-enterprise-artificial-intelligence-the-travelers-companies-inc-JV_IC1148399_KO0,52_KE53,80.htm?jl=1009234639702"
378,Head of Business Development & Strategic Partnerships,$260K - $320K (Employer est.),"Bachelor’s degree in relevant field; MBA or equivalent advanced degree preferred. Ability to weigh competing priorities, manage trade offs, and evaluate……
Skills: E-commerce, Business development, Private equity, Data science, Communication skills",3.2,ThredUp Inc.,"Oakland, CA",1001 to 5000 Employees,2009,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/head-of-business-development-strategic-partnerships-thredup-inc-JV_IC1147380_KO0,51_KE52,63.htm?jl=1009376312516"
379,"Leader, Data Platforms",$142K - $189K (Employer est.),"We are currently hiring a Leader, Data Platforms who will be responsible for driving capability enablement on our strategic data technologies, such as Google……
Skills: Management, Google Cloud Platform, AI, Leadership, Communication skills",3.9,Trane Technologies,"Davidson, NC",10000+ Employees,2020,Company - Public,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/leader-data-platforms-trane-technologies-JV_IC1138650_KO0,21_KE22,40.htm?jl=1009283819285"
380,"People Partner, ML, Systems and Cloud AI",-1,"We build the technical foundation behind Google’s products as well as for Google Cloud’s compute and AI/ML offerings and manage the underlying design elements,……
Skills: Management, Human resources, AI",4.3,Google,"Seattle, WA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/people-partner-ml-systems-and-cloud-ai-google-JV_IC1150505_KO0,38_KE39,45.htm?jl=1009341200452"
381,"Sr. Analyst, Digital Experience Marketing Analytics",$115K - $245K (Employer est.),"MBA or Advanced Education in a related field (or equivalent work experience). Build new reporting capabilities for analysis using advanced BI techniques and……
Skills: Analysis skills, B2B marketing, Leadership, Marketing, Analytics",4.2,Adobe,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-analyst-digital-experience-marketing-analytics-adobe-JV_IC1147436_KO0,49_KE50,55.htm?jl=1009352728896"
382,Technical Program Manager - Artificial Intelligence,$140K - $278K (Employer est.),"You will work with each engineering team to develop project schedules, identify milestones, flag risks, estimate budgets, and clearly communicate ongoing……
Skills: Jira, Computer science, Program management, Computer vision, Smartsheet",3.7,Zoox,"Foster City, CA",1001 to 5000 Employees,2014,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/technical-program-manager-artificial-intelligence-zoox-JV_IC1163997_KO0,49_KE50,54.htm?jl=1009261290604"
383,Senior Data Scientist - Trust and Safety,$123K - $218K (Employer est.),"If access to export-controlled technology or source code is required for performance of job duties, it is within Employer's discretion whether to apply for a U……
Skills: Spark, SQL, Machine learning, Data science, SaaS",4.3,Databricks,"Mountain View, CA",1001 to 5000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-data-scientist-trust-and-safety-databricks-JV_IC1147431_KO0,38_KE39,49.htm?jl=1009378697089"
384,Data Center Strategic Planning Manager,$195K - $264K (Employer est.),"This is a unique opportunity where you will be responsible for developing and leading transformational strategic initiatives and capacity programs from……
Skills: Data center experience, Cloud infrastructure, Analysis skills, Machine learning, Strategic planning",4.0,Facebook App,"Fremont, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-center-strategic-planning-manager-facebook-app-JV_IC1147355_KO0,38_KE39,51.htm?jl=1009370109465"
385,Strategic Insights Lead,$90K - $150K (Employer est.),"MBA or Master’s degree in data science, strategy, management, or related field is a plus. Knowledge of common sourcing analysis methodologies (TCO models, PPV……
Skills: Sourcing, Power BI, Data modeling, Microsoft Excel, Management",3.9,Pfizer,"Tampa, FL",Unknown,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/strategic-insights-lead-pfizer-JV_IC1154429_KO0,23_KE24,30.htm?jl=1009377930241"
386,Machine Learning Scientist - Quant AI - Vice President - Machine Learning Center of Excellence,$147K - $260K (Employer est.),"The candidate must also have a strong passion for machine learning and invest independent time towards learning, researching and experimenting with new……
Skills: TensorFlow, Azure, Data mining, Kubernetes, Data structures",4.0,JPMorgan Chase & Co,"Palo Alto, CA",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/machine-learning-scientist-quant-ai-vice-president-machine-learning-center-of-excellence-jpmorgan-chase-co-JV_IC1147434_KO0,88_KE89,106.htm?jl=1009320019213"
387,"Vice President, Chief Data and Analytics Officer, Stanford Health Care and Stanford University School of Medicine",$140.00 - $185.19 Per Hour (Employer est.),"Bachelor's degree in a work-related field/discipline from an accredited college or university required. Master's degree in a work-related field/discipline from……
Skills: Management, Supervising experience, Data management, IT, Budgeting",3.6,Stanford Health Care,"Palo Alto, CA",10000+ Employees,1957,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/vice-president-chief-data-and-analytics-officer-stanford-health-care-and-stanford-university-school-of-medicine-stanford-health-care-JV_IC1147434_KO0,111_KE112,132.htm?jl=1009369793251"
388,"Lead Data Analyst/Senior Data Analyst, TikTok Ads - USDS",$133K - $275K (Employer est.),"Work closely with key cross functional teams such as product managers, data science, and engineers to solve business problems.…
Skills: Data analysis skills, English, Apache Hive, Tableau, SQL",3.3,TikTok,"Mountain View, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/lead-data-analyst-senior-data-analyst-tiktok-ads-usds-tiktok-JV_IC1147431_KO0,53_KE54,60.htm?jl=1009303375564"
389,Head of Data and Information (Director),$139K - $197K (Glassdoor est.),"Evaluate and implement new data technologies and tools to enhance data capabilities. Bachelor’s degree in Data Science, Computer Science, Statistics, or a……
Skills: Computer science, Management, Sales, Tableau, Analysis skills",4.0,Pierre Fabre,"Parsippany, NJ",10000+ Employees,1962,Company - Private,Pharmaceutical,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/head-of-data-and-information-director-pierre-fabre-JV_IC1126931_KO0,37_KE38,50.htm?jl=1009336426507"
390,"Head of Computational Science & Data Strategy, Research",$252K - $396K (Employer est.),"Collaborate with the R&D stakeholders and external partners to develop and maintain a state-of-the-art data infrastructure.…
Skills: Management, Drug discovery, Machine learning, AI, Leadership",4.0,Takeda Pharmaceutical,"Boston, MA",10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/head-of-computational-science-data-strategy-research-takeda-pharmaceutical-JV_IC1154532_KO0,52_KE53,74.htm?jl=1009324523033"
391,"Senior Director, Senior Program Lead (AI/ML), Data Surveillance",$191K - $319K (Employer est.),"Defining and driving the AI strategy to create a roadmap detailing the short and long term implementation for CDS, including techniques from RPA (robotic……
Skills: TensorFlow, Statistics, Data mining, Signal processing, R",3.9,Pfizer,"Groton, CT",Unknown,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-director-senior-program-lead-ai-ml-data-surveillance-pfizer-JV_IC1148487_KO0,59_KE60,66.htm?jl=1009376339229"
392,"Senior Principal Applied Scientist, Search Science",$240K - $350K (Employer est.),"This intellectual thought leader will help direct and shape the science philosophy, planning and strategy for the team, as we push into new areas: Supporting……
Skills: Computer science",3.7,Amazon.com Services LLC,"Palo Alto, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-principal-applied-scientist-search-science-amazon-com-services-llc-JV_IC1147434_KO0,49_KE50,73.htm?jl=1009303287698"
393,Head of IT Infrastructure and Devices,$194K - $258K (Employer est.),"Experience with Google public cloud and state of the art architecture and engineering processes. Ensure cost-effective design, development, integration,……
Skills: Cloud architecture, Google Cloud Platform, Data science, Leadership, Communication skills",3.1,Verily,"Dallas, TX",1001 to 5000 Employees,2015,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/head-of-it-infrastructure-and-devices-verily-JV_IC1139977_KO0,37_KE38,44.htm?jl=1009368200571"
394,Principal Business Systems Analyst,$144K - $231K (Employer est.),"Solve complex business problems with technical & non-technical solutions. Deep experience with Salesforce.com platform, Salesforce Admin certification preferred……
Skills: System administration, Sales, DocuSign, Salesforce, Analysis skills",3.9,Atlassian,"Austin, TX",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/principal-business-systems-analyst-atlassian-JV_IC1139761_KO0,34_KE35,44.htm?jl=1009345940151"
395,"Executive Director, Enterprise Data & Analytics",$124K - $181K (Glassdoor est.),"Excellent verbal and written communication skills, including the ability to advise technical and non-technical stakeholders on technical topics (ie: online data……
Skills: Cognos, Power BI, SAFe, Data mining, Management",3.6,Chicago Public Schools,"Chicago, IL",10000+ Employees,1883,School / School District,Primary & Secondary Schools,Education,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/executive-director-enterprise-data-analytics-chicago-public-schools-JV_IC1128808_KO0,44_KE45,67.htm?jl=1009326732107"
396,Chief Data Scientist - Generative AI,$115K - $187K (Glassdoor est.),"Advanced degree in a computing or engineering discipline, mathematics or statistics, or a related field. Serve as a technical advisor on complex data science……
Skills: Statistics, Research, Analysis skills, Machine learning, Data science",4.2,Pacific Northwest National Laboratory,"Richland, WA",5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/chief-data-scientist-generative-ai-pacific-northwest-national-laboratory-JV_IC1150330_KO0,34_KE35,72.htm?jl=1009354416364"
397,"Manager - Data Science, AI and ML",$170K - $227K (Employer est.),"Manage the workload and deliverables of a core team of data science engineers. The Manger will have experience in all phases of software development lifecycle,……
Skills: CI/CD, Computer science, Oracle, Big data, Spark",3.5,"Intercontinental Exchange Holdings, Inc.","New York, NY",10000+ Employees,2000,Company - Public,Stock Exchanges,Financial Services,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/manager-data-science-ai-and-ml-intercontinental-exchange-holdings-inc-JV_IC1132348_KO0,30_KE31,69.htm?jl=1009373330296"
398,"Staff Researcher, Machine Learning and Artificial Intelligence",$161K - $221K (Employer est.),"Excellent verbal and written communications skills; experience presenting complex technical information, succinctly, to technical and non-technical audiences.…
Skills: TensorFlow, Computer science, Computer vision, Data structures, Research",3.7,Samsung Research America,"Irvine, CA",1001 to 5000 Employees,1988,Subsidiary or Business Segment,Software Development,Information Technology,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/staff-researcher-machine-learning-and-artificial-intelligence-samsung-research-america-JV_IC1146798_KO0,61_KE62,86.htm?jl=1009224124410"
399,"Principal Enterprise Architect, AI & Data Science",$146K - $272K (Employer est.),"Ability to collaborate and provide leadership in a large group of engineering leads and be accountable for driving efforts towards defined outcomes that align……
Skills: Enterprise software, TOGAF, Organizational skills, Data science, AI",3.8,Northwestern Mutual,"Milwaukee, WI",5001 to 10000 Employees,1857,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/principal-enterprise-architect-ai-data-science-northwestern-mutual-JV_IC1133579_KO0,46_KE47,66.htm?jl=1009260416714"
400,Model Risk Management (Artificial Intelligence) - Senior Manager,$118K - $198K (Employer est.),"As part of this critical program, you will be expected to lead dynamic AI and GenAI model risk and control environment assessments, evaluate model performance,……
Skills: Analysis skills, Risk management, AI",3.7,FIS Global,"Jacksonville, FL",10000+ Employees,1968,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/model-risk-management-artificial-intelligence-senior-manager-fis-global-JV_IC1154093_KO0,60_KE61,71.htm?jl=1009336308758"
401,"Sr. Manager Marketing Analytics Insights, Digital Health",$170K - $195K (Employer est.),"Excellent communication and presentation skills, with the ability to convey complex technical concepts to non-technical audiences.…
Skills: Biotechnology, Power BI, Management, R, Data analysis skills",3.5,Samsung Electronics,"Mountain View, CA",1001 to 5000 Employees,1938,Subsidiary or Business Segment,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-manager-marketing-analytics-insights-digital-health-samsung-electronics-JV_IC1147431_KO0,54_KE55,74.htm?jl=1009336136768"
402,Director-Artificial Intelligence (AI) Risk Management,$130K - $205K (Employer est.),"Collaborate with GCO and other key partners, to develop and implement an enterprise-wide training module for Traditional AI and Gen AI risks.…
Skills: Information security, Machine learning, Risk management, Financial services, AI",4.1,Amex,United States,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-artificial-intelligence-ai-risk-management-amex-JV_KO0,51_KE52,56.htm?jl=1009363252696"
403,"VP of Partnerships, Cloud & Generative AI",$175K (Employer est.),"Results-oriented with a focus on driving measurable impact and delivering value to partners and customers through the achievement of revenue goals.…
Skills: Business development, AWS, Presentation skills, Machine learning, AI",4.1,Invisible Technologies,Remote,201 to 500 Employees,2015,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/vp-of-partnerships-cloud-generative-ai-invisible-technologies-JV_KO0,38_KE39,61.htm?jl=1009210125663"
404,Quant Analytics Manager,$109K - $145K (Employer est.),"Success factors include: Demonstrating leadership through strong communication skills, addressing conflict, coaching others on developing technical skills;……
Skills: Authentication, SAS, Writing skills, Data structures, R",3.7,KeyBank,Remote,10000+ Employees,1849,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/quant-analytics-manager-keybank-JV_KO0,23_KE24,31.htm?jl=1009362027742"
405,"Data Analyst, Health & Customer Insights",$72K - $93K (Employer est.),"Research and analysis – gather, clean, and normalize data from disparate sources into workable data models using various tools. Expertise in SQL is required.…
Skills: Jira, Power BI, Microsoft Excel, Data analysis skills, Microsoft Office",3.5,Albertsons Companies,"Boise, ID",10000+ Employees,1939,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-analyst-health-customer-insights-albertsons-companies-JV_IC1127927_KO0,37_KE38,58.htm?jl=1009341201007"
406,Data Scientist - TikTok Live Streaming & RTC Products,$130K - $240K (Employer est.),"Perform data analysis based on business requirements, support data analysis for special projects, and provide ongoing data analysis support.…
Skills: Data mining, R, Data analysis skills, SQL, Attribution modeling",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-tiktok-live-streaming-rtc-products-tiktok-JV_IC1147436_KO0,49_KE50,56.htm?jl=1009347536139"
407,Senior Marketing Strategy & Analytics Manager,$120K - $210K (Employer est.),"Strong communication and stakeholder management, with both technical and non-technical audiences. Bachelors in Math, Data Science, Stats, Business, or related……
Skills: Sales, Tableau, SQL, Attribution modeling, GitHub",4.1,Rippling,"New York, NY",1001 to 5000 Employees,2016,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/senior-marketing-strategy-analytics-manager-rippling-JV_IC1132348_KO0,43_KE44,52.htm?jl=1009358338617"
408,Applied Machine Learning Research Scientist,$190K - $250K (Employer est.),"Perform hands-on analysis and modeling of enormous data sets to develop insights. We're seeking an Applied Machine Learning Research Scientist to collaborate……
Skills: Spark, Research, Databases, Machine learning, AI",-1,Coactive AI,"San Jose, CA",1 to 50 Employees,2021,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/applied-machine-learning-research-scientist-coactive-ai-JV_IC1147436_KO0,43_KE44,55.htm?jl=1009224256170"
409,Analytics Leader,$163K - $300K (Employer est.),"You have a BS/MS or equivalent experience in Computer Science or a related technical field. You have 5+ years leading data science/analytics engineering teams……
Skills: Computer science, Big data, Spark, Google Cloud Platform, Java",4.1,Workday,"Pleasanton, CA",10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/analytics-leader-workday-JV_IC1147390_KO0,16_KE17,24.htm?jl=1009314684814"
410,Sr Machine Learning Engineer,$185K - $206K (Employer est.),"Bachelor's degree or equivalent in Computer Science, Engineering, Mathematics or related field, with 4+ years of full-time engineering experience or PhD with 2+……
Skills: TensorFlow, Go, Spark, Apache Hive, Java",3.9,Uber,"Seattle, WA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-machine-learning-engineer-uber-JV_IC1150505_KO0,28_KE29,33.htm?jl=1009377706691"
411,"Sr. Applied Scientist, Generative AI Innovation Center",$150K - $260K (Employer est.),"PhD degree in computer science, engineering, mathematics, operations research, or in a highly quantitative field.…
Skills: TensorFlow, Computer science, Data mining, Data structures, Java",3.7,"Amazon Web Services, Inc.","Bellevue, WA",Unknown,2006,Subsidiary or Business Segment,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-applied-scientist-generative-ai-innovation-center-amazon-web-services-inc-JV_IC1150442_KO0,52_KE53,76.htm?jl=1009287703560"
412,"Applied Scientist II, Amazon",$136K - $222K (Employer est.),"You will guide the design, modeling, and architectural choices of state-of-the-art large language models and multimodal models.…
Skills: Data mining, Data structures, Java, C++, Distributed systems",3.7,"Amazon Web Services, Inc.","Palo Alto, CA",Unknown,2006,Subsidiary or Business Segment,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/applied-scientist-ii-amazon-amazon-web-services-inc-JV_IC1147434_KO0,27_KE28,51.htm?jl=1009359370666"
413,"Senior Manager, Machine Learning Science",$173K - $243K (Employer est.),"You will also contribute to an area of active research: causal inference using machine learning methods, stochastic optimization, ML-based demand estimation,……
Skills: Pricing, Management, Big data, Spark, R",3.8,Expedia Partner Solutions,"Austin, TX",10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/senior-manager-machine-learning-science-expedia-partner-solutions-JV_IC1139761_KO0,39_KE40,65.htm?jl=1009377282170"
414,Data Scientist - TikTok Live,$144K - $240K (Employer est.),"Research data science theories and methodology, improve analysis efficiency and data product tools. The primary role of a Data Scientist is to conduct deep……
Skills: Agency management, R, Data analysis skills, SQL, Analysis skills",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-tiktok-live-tiktok-JV_IC1147436_KO0,26_KE27,33.htm?jl=1009361506329"
415,"Manager, Marketing Analytics",$143K - $191K (Employer est.),"Our team excels in exploratory data analysis, media measurement and strategy, and campaign-level reporting, all aimed at driving business decisions and……
Skills: R, Marketing mix modeling, Tableau, SQL, Analysis skills",3.8,Disney,"Santa Monica, CA",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),"https://www.glassdoor.com/job-listing/manager-marketing-analytics-disney-JV_IC1146873_KO0,27_KE28,34.htm?jl=1009324044330"
416,"Senior Staff Software Engineer, Data and Analytics",$185K - $255K (Employer est.),"The Analytics team will work closely with Data Science to leverage models for optimization, as well as develop their own models, the Data Platform team to shape……
Skills: Go, C#, Microsoft SQL Server, Java, SQL",3.0,Outreach,"Seattle, WA",1001 to 5000 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-staff-software-engineer-data-and-analytics-outreach-JV_IC1150505_KO0,49_KE50,58.htm?jl=1009229085371"
417,Staff Data Scientist,$190K - $238K (Glassdoor est.),"Leads technical work of a scrum team: initiating and designing model solutions, driving end-to-end architecture designs of the team’s work, and holding the team……
Skills: Data mining, R, Git, Apache Hive, Java",4.4,Intuit,"Mountain View, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/staff-data-scientist-intuit-JV_IC1147431_KO0,20_KE21,27.htm?jl=1009372419444"
418,Sr Data & Analytics Consultant,$95K - $182K (Employer est.),"Knowledge of data science and AI techniques and tools and the data science product development life cycle; Experience consulting or working on data science or……
Skills: DevOps, Project management, Product development, Natural language processing, Financial services",3.9,Principal Financial Group,"Des Moines, IA",10000+ Employees,1879,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-data-analytics-consultant-principal-financial-group-JV_IC1149246_KO0,28_KE29,54.htm?jl=1009373587954"
419,"Lead AI/ML Engineer, Algorithms & Research",$186K - $279K (Employer est.),"Design and develop retrieval augmentation methods for structured, unstructured, and relational databases. As a Lead Machine Learning Engineer/Scientist, you……
Skills: Ontology, Relational databases, Databases, Machine learning, AI",3.7,Upwork,"Cambridge, MA",501 to 1000 Employees,2014,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/lead-ai-ml-engineer-algorithms-research-upwork-JV_IC1154545_KO0,39_KE40,46.htm?jl=1009336358263"
420,Senior Machine Learning Scientist (Discovery),$134K - $200K (Employer est.),"Passion for driving impact in the field of online education through innovative ML and search science techniques.…
Skills: TensorFlow, Git, Machine learning, Deep learning, Natural language processing",3.6,Coursera,United States,501 to 1000 Employees,2012,Company - Public,Colleges & Universities,Education,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-machine-learning-scientist-discovery-coursera-JV_KO0,43_KE44,52.htm?jl=1009338831937"
421,"Senior Applied Scientist, ML_AI",$150K - $260K (Employer est.),"PhD in engineering, technology, computer science, machine learning, robotics, operations research, statistics, mathematics or equivalent quantitative field.…
Skills: Statistics, Data mining, Spark, Java, AWS",3.7,"Amazon Development Center U.S., Inc. - B02","Santa Clara, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-applied-scientist-ml-ai-amazon-development-center-us-inc-b02-JV_IC1147439_KO0,30_KE31,67.htm?jl=1009307340430"
422,Senior Sales Specialist - Data & AI,$102K - $235K (Employer est.),"OR Bachelor's Degree in Computer Science, Information Technology, Business Administration, or related field AND 4+ years technology-related sales or account……
Skills: Computer science, Azure, Oracle, Cassandra, Sales",4.2,Microsoft,United States,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-sales-specialist-data-ai-microsoft-JV_KO0,31_KE32,41.htm?jl=1009260367098"
423,Director of Data Science & Insights,$141K - $189K (Glassdoor est.),"Comprehensive knowledge of data science methodologies, including feature engineering, model evaluation, and deployment.…
Skills: Computer science, Azure, Management, Big data, Software deployment",3.9,Novelis Corporate HQ,"Atlanta, GA",10000+ Employees,2005,Subsidiary or Business Segment,Metal & Mineral Manufacturing,Manufacturing,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-of-data-science-insights-novelis-corporate-hq-JV_IC1155583_KO0,33_KE34,54.htm?jl=1009377915449"
424,"AIML - Language Expansion Engineer, Siri and Information Intelligence",$116K - $204K (Employer est.),"Master's degree or higher in Computer Science, Computational Linguistics or a related field. You'll develop workflows and frameworks for building, fine-tuning,……
Skills: Computer science, C++, C, Scripting, Data science",4.1,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/aiml-language-expansion-engineer-siri-and-information-intelligence-apple-JV_IC1150505_KO0,66_KE67,72.htm?jl=1009353507091"
425,"Assistant Vice President, Data Scientist",$95K - $135K (Glassdoor est.),"Utilize SQL to curate large volumes of data, perform statistical analysis and data engineering. Utilizing SQL to curate large volumes of data, perform……
Skills: Data mining, Tableau, SQL, Machine learning, Distributed systems",3.9,Bank of America,"Charlotte, NC",10000+ Employees,1904,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/assistant-vice-president-data-scientist-bank-of-america-JV_IC1138644_KO0,39_KE40,55.htm?jl=1009361843397"
426,"Data Scientist, Fraud & Risk",$165K - $185K (Employer est.),"Explain technical choices, model limitations and trade-offs in a cross functional risk evaluation forums. Desire and ability to mentor junior Data Scientists……
Skills: R, SQL, Machine learning, Data science, Communication skills",4.1,Wealthfront,"Palo Alto, CA",51 to 200 Employees,2011,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-fraud-risk-wealthfront-JV_IC1147434_KO0,25_KE26,37.htm?jl=1009366366413"
427,"CORPORATE VICE PRESIDENT, Lead Data Scientist",$178K (Employer est.),"(4) Collaborating with cross-functional teams comprised of Product Managers, Engineers, and business leaders to design and implement Underwriting project……
Skills: Microsoft Powerpoint, Computer science, Visual Studio, Spark, R",3.7,New York Life Insurance Co,Remote,10000+ Employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"https://www.glassdoor.com/job-listing/corporate-vice-president-lead-data-scientist-new-york-life-insurance-co-JV_KO0,44_KE45,71.htm?jl=1009363778147"
428,Applied Machine Learning Scientist,$107K - $179K (Employer est.),"Bachelor’s degree in Computer Science, Mathematics, Statistics, or related field. Knowledge in Economics, Finance, or related field.…
Skills: Statistical analysis, AWS, Analysis skills, Sentiment analytics, Machine learning",3.9,The Washington Post,"Washington, DC",1001 to 5000 Employees,1877,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/applied-machine-learning-scientist-the-washington-post-JV_IC1138213_KO0,34_KE35,54.htm?jl=1009363350132"
429,"Staff Algorithms Engineer, Autobidder",$108K - $330K (Employer est.),"Design and develop tooling and simulation systems to monitor, track, and improve the field performance of assets by defining metrics, tracking performance, and……
Skills: CI/CD, Kubernetes, Git, Analysis skills, Docker",3.5,Tesla,"Palo Alto, CA",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/staff-algorithms-engineer-autobidder-tesla-JV_IC1147434_KO0,36_KE37,42.htm?jl=1009376145182"
430,Anti-Fraud Data Analyst - USDS,$83K - $130K (Glassdoor est.),"Design processes and build effective workflows to define characteristics of different fraud types, capture new risk types, and collaborate with cross-functional……
Skills: Statistics, Computer science, R, Data analysis skills, SQL",3.3,TikTok,"Seattle, WA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/anti-fraud-data-analyst-usds-tiktok-JV_IC1150505_KO0,28_KE29,35.htm?jl=1009248825523"
